sector,avg_daily_return,daily_stddev,annualized_vol,sharpe_ratio,ticker_count
Consumer Staples,0.00033554,0.01725302,0.273883,0.019448,36
Utilities,0.0004742,0.01870372,0.296912,0.025353,30
Health Care,0.00048135,0.02105869,0.334296,0.022858,57
Real Estate,0.00042199,0.02123658,0.33712,0.019871,31
Industrials,0.00080479,0.02169211,0.344351,0.0371,78
Financials,0.0007178,0.02321671,0.368554,0.030917,75
Materials,0.00065338,0.02343786,0.372064,0.027877,26
Communication Services,0.00059549,0.02429322,0.385643,0.024513,22
Information Technology,0.0010028,0.02600429,0.412805,0.038563,70
Consumer Discretionary,0.00077967,0.02776212,0.44071,0.028084,48
Energy,0.0011381,0.02913159,0.462449,0.039067,21
